Term,Definition
Bank and Related Terms,"The term ""bank"" means any national bank and State bank, any Federal branch and insured branch and includes any former savings association."
State Bank  ,"The term ""State bank"" means any bank, banking association, trust company, savings bank, industrial bank (or similar depository institution which the Board of Directors finds to be operating substantially in the same manner as an industrial bank), or other banking institution which-- (A)  is engaged in the business of receiving deposits, other than trust funds (as defined in this section); and (B)  is incorporated under the laws of any State or which is operating under the Code of Law for the District of Columbia, including any cooperative bank or other unincorporated bank the deposits of which were insured by the Corporation on the day before August 9, 1989."
State,"The term ""State"" means any State of the United States, the District of Columbia, any territory of the United States, Puerto Rico, Guam, American Samoa, the Trust Territory of the Pacific Islands, the Virgin Islands, and the Northern Mariana Islands."
Savings Associations ,"The term ""savings association"" means any Federal savings association;�any State savings association; and any corporation (other than a bank) that the Board of Directors and the Comptroller of the Currency jointly determine to be operating in substantially the same manner as a savings association.  "
Federal Savings Association,"The term ""Federal savings association"" means any Federal savings association or Federal savings bank which is chartered undersection 1464 of this title."
State Savings Association,"The term ""State savings association"" means any building and loan association, savings and loan association, or homestead association or any cooperative bank (other than a cooperative bank which is a State bank as defined in subsection (a)(2) of this section), which is organized and operating according to the laws of the State in which it is chartered or organized. "
Depository Institutions,"The term ""depository institution"" means any bank or savings association."
Insured Depository Institution,"The term ""insured depository institution"" means any bank or savings association the deposits of which are insured by the Corporation pursuant to this Act.  INSTITUTIONS INCLUDED FOR CERTAIN PURPOSES.--The term ""insured depository institution"" includes any uninsured branch or agency of a foreign bank or a commercial lending company owned or controlled by a foreign bank for purposes of section 8 of this Act."
Federal Depository Institution,"The term ""Federal depository institution"" means any national bank, any Federal savings association, and any Federal branch."
State Depository Institution,"The term ""State depository institution"" means any State bank, any State savings association, and any insured branch which is not a Federal branch. "
Member Banks,"NATIONAL MEMBER BANK--The term ""national member bank"" means any national bank which is a member of the Federal Reserve System. STATE MEMBER BANK--The term ""State member bank"" means any State bank which is a member of the Federal Reserve System. "
Nonmember Banks,"NATIONAL NONMEMBER BANK--The term ""national nonmember bank"" means any national bank which-- (A)  is located in any territory of the United States, Puerto Rico, Guam, American Samoa, the Virgin Islands, or the Northern Mariana Islands and is not a member of the Federal Reserve System. STATE NONMEMBER BANK--The term ""State nonmember bank"" means any State bank which is not a member of the Federal Reserve System. "
Mutual Savings Bank,"The term mutual savings bank means a bank without capital stock transacting a savings bank business, the net earnings of which inure wholly to the benefit of its depositors after payment of obligations for any advances by its organizers."
Savings Bank,The term savings bank means a bank (including a mutual savings bank) which transacts its ordinary banking business strictly as a savings bank under State laws imposing special requirements on such banks governing the manner of investing their funds and of conducting their business.
Insured Bank,The term insured bank means any bank (including a foreign bank having an insured branch) the deposits of which are insured in accordance with the provisions of this Act and the term noninsured bank means any bank the deposits of which are not so insured.
New Depository Institution ,"The term ""new depository institution"" means a new national bank or Federal savings association, other than a bridge depository institution, organized by the Corporation in accordance withsection 11(m). "
Bridge Depository Institution ,"The term ""bridge depository institution"" means a new national bank or Federal savings association organized by the Corporation in accordance withsection 11(n)."
Receiver,"The term receiver includes a receiver, liquidating agent, conservator, commission, person, or other agency charged by law with the duty of winding up the affairs of a bank or savings association or of a branch of a foreign bank."
Board of Directors,The term Board of Directors means the Board of Directors of the Corporation.
Deposit,"The term deposit means  the unpaid balance of money or its equivalent received or held by a bank or savings association in the usual course of business and for which it has given or is obligated to give credit, either conditionally or unconditionally, to a commercial, checking, savings, time, or thrift account, or which is evidenced by its certificate of deposit, thrift certificate, investment certificate, certificate of indebtedness, or other similar name, or a check or draft drawn against a deposit account and certified by the bank or savings association, or a letter of credit or a traveler's check on which the bank or savings association is primarily liable: Provided, That, without limiting the generality of the term ""money or its equivalent"", any such account or instrument must be regarded as evidencing the receipt of the equivalent of money when credited or issued in exchange for checks or drafts or for a promissory note upon which the person obtaining any such credit or instrument is primarily or secondarily liable, or for a charge against a deposit account, or in settlement of checks, drafts, or other instruments forwarded to such bank or savings association for collection."
Insured Deposit,"The term ""insured deposit"" means the net amount due to any depositor for deposits in an insured depository institution as determined undersections 7(i)and11(a). In the case of any deposit in a branch of a foreign bank, the term ""insured deposit"" means an insured deposit as defined in paragraph (1) of this subsection which-- (A) Is payable in the United States to-- (i) An individual who is a citizen or resident of the United States, (ii) A partnership, corporation, trust, or other legally cognizable entity created under the laws of the United States or any State and having its principal place of business within the United States or any State, or (iii) An individual, partnership, corporation, trust, or other legally cognizable entity which is determined by the Board of Directors in accordance with its regulations to have such business or financial relationships in the United States as to make the insurance of such deposit consistent with the purposes of this Act; and (B) Meets any other criteria prescribed by the Board of Directors by regulation as necessary or appropriate in its judgment to carry out the purposes of this Act or to facilitate the administration thereof. "
Uninsured Deposit,"The term ""uninsured deposit"" means the amount of any deposit of any depositor at any insured depository institution in excess of the amount of the insured deposits of such depositor (if any) at such depository institution."
Preferred Deposits,"The term ""preferred deposits"" means deposits of any public unit (as defined in paragraph (1)) at any insured depository institution which are secured or collateralized as required under State law. "
Transferred Deposit,"The term transferred deposit means a deposit in a new bank or other insured depository institution made available to a depositor by the Corporation as payment of the insured deposit of such depositor in a closed bank, and assumed by such new bank or other insured depository institution."
Domestic Branch,"The term domestic branch includes any branch bank, branch office, branch agency, additional office, or any branch place of business located in any State of the United States or in any Territory of the United States, Puerto Rico, Guam, American Samoa, the Trust Territory of the Pacific Islands, or the Virgin Islands at which deposits are received or checks paid or money lent. The term domestic branch does not include an automated teller machine or a remote service unit. The term foreign branch means any office or place of business located outside the United States, its territories, Puerto Rico, Guam, American Samoa, the Trust Territory of the Pacific Islands, or the Virgin Islands, at which banking operations are conducted."
Trust Funds,"The term trust funds means funds held by an insured depository institution in a fiduciary capacity and includes, without being limited to, funds held as trustee, executor, administrator, guardian, or agent."
Appropriate Federal Banking Agency,"The term appropriate Federal banking agency means (1)  the Office of the Comptroller of the Currency, in the case of (a) any national banking association (b) any Federal branch or agency of a foreign bank and (c) any Federal savings association (2) the Federal Deposit Insurance Corporation, in the case of (a) any State nonmember insured bank (b) any foreign bank having an insured branch (c) any State savings association (3) the Board of Governors of the Federal Reserve System in the case of (a) any State member bank (b) any branch or agency of a foreign bank with respect to any provision of the Federal Reserve Act which is made applicable under the International Banking Act of 1978 (c) any foreign bank which does not operate an insured branch (d) any agency or commercial lending company other than a Federal agency (e) supervisory or regulatory proceedings arising from the authority given to the Board of Governors under section 7(c)(1) of the International Banking Act of 1978, including such proceedings under the Financial Institution Supervisory Act of 1966 (f) any bank holding company and any subsidiary (other than a depository institution) of a bank holding company (g) any savings and loan holding company and any subsidiary (other than a depository institution) of a savings and loan holding company."
State Bank Supervisor,"IN GENERAL the term ""State bank supervisor"" means any officer, agency, or other entity of any State which has primary regulatory authority over State banks or State savings associations in such State. INTERSTATE APPLICATION The State bank supervisors of more than 1 State may be the appropriate State bank supervisor for any insured depository institution."
Foreign Banks,"The term ""foreign bank"" has the meaning given to such term bysection 1(b)(7) of the International Banking Act of 1978. "
Federal Branch,"The term ""Federal branch"" has the meaning given to such term by section 1(b)(6) of the International Banking Act of 1978."
Insured Branch,"The term ""insured branch"" means any branch (as defined in section 1(b)(3) of the International Banking Act of 1978) of a foreign bank any deposits in which are insured pursuant to this Act. "
"Includes, Including","The terms ""includes"" and ""including"" shall not be construed more restrictively than the ordinary usage of such terms so as to exclude any other thing not referred to or described.�RULE OF CONSTRUCTION Paragraph (1) shall not be construed as creating any inference that the term ""includes"" or ""including"" in any other provision of Federal law may be deemed to exclude any other thing not referred to or described."
